date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:18:53	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2016%20Apr%202022%2022:18:52%20GMT	https://spam5014.wixsite.com/version/	H:/Projects/Site/for%20real%20site/spam5014.wixsite.com/version/index.html	(from https://spam5014.wixsite.com/test)
16:18:53	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2016%20Apr%202022%2022:18:52%20GMT	https://spam5014.wixsite.com/5fbcb901.chunk.min.js	H:/Projects/Site/for%20real%20site/spam5014.wixsite.com/5fbcb901.chunk.min.11.delayed	(from https://spam5014.wixsite.com/test)
16:18:53	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2016%20Apr%202022%2022:18:53%20GMT	https://spam5014.wixsite.com/rb_wixui.thunderbolt~bootstrap-classic.afb16b0a.chunk.min.js	H:/Projects/Site/for%20real%20site/spam5014.wixsite.com/rb_wixui.thunderbolt_bootstrap-classic.afb16b0a.chunk.min.js	(from https://spam5014.wixsite.com/test)
16:18:53	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2016%20Apr%202022%2022:18:53%20GMT	https://spam5014.wixsite.com/rb_wixui.thunderbolt~bootstrap.7c1e0d7b.chunk.min.css	H:/Projects/Site/for%20real%20site/spam5014.wixsite.com/rb_wixui.thunderbolt_bootstrap.7c1e0d7b.chunk.min.css	(from https://spam5014.wixsite.com/test)
16:18:54	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2016%20Apr%202022%2022:18:53%20GMT	https://spam5014.wixsite.com/rb_wixui.thunderbolt~bootstrap.5fbcb901.chunk.min.js	H:/Projects/Site/for%20real%20site/spam5014.wixsite.com/rb_wixui.thunderbolt_bootstrap.5fbcb901.chunk.min.js	(from https://spam5014.wixsite.com/test)
16:18:54	9684/9684	---M--	200	added ('OK')	image/jpeg	date:Sat,%2016%20Apr%202022%2022:18:53%20GMT	https://static.wixstatic.com/media/c837a6_a2c6581a49ff4d31ba3bb448eb0e6b99~mv2.jpg/v1/crop/x_0,y_894,w_3744,h_4054/fill/w_172,h_187,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/GettyImages-919176440.jpg	H:/Projects/Site/for%20real%20site/static.wixstatic.com/media/c837a6_a2c6581a49ff4d31ba3bb448eb0e6b99_mv2.jpg/v1/crop/x_0,y_894,w_3744,h_4054/fill/w_172,h_187,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/GettyImages-919176440.jpg	(from https://spam5014.wixsite.com/test)
16:18:54	1158/1158	---M--	200	added ('OK')	image/png	date:Sat,%2016%20Apr%202022%2022:18:54%20GMT	https://static.wixstatic.com/media/70dad6_732daf0fc99640b0a16382625739c50b~mv2.png/v1/fill/w_24,h_24,al_c,usm_0.66_1.00_0.01,blur_3,enc_auto/70dad6_732daf0fc99640b0a16382625739c50b~mv2.png	H:/Projects/Site/for%20real%20site/static.wixstatic.com/media/70dad6_732daf0fc99640b0a16382625739c50b_mv2.png/v1/fill/w_24,h_24,al_c,usm_0.66_1.00_0.01,blur_3,enc_auto/70dad6_732daf0fc99640b0a16382625739c50b_mv2.png	(from https://spam5014.wixsite.com/test)
16:18:55	912/912	---M--	200	added ('OK')	image/png	date:Sat,%2016%20Apr%202022%2022:18:54%20GMT	https://static.wixstatic.com/media/aa0402eb9ba2430d9d0620b59556efca.png/v1/fill/w_24,h_24,al_c,usm_0.66_1.00_0.01,blur_3,enc_auto/aa0402eb9ba2430d9d0620b59556efca.png	H:/Projects/Site/for%20real%20site/static.wixstatic.com/media/aa0402eb9ba2430d9d0620b59556efca.png/v1/fill/w_24,h_24,al_c,usm_0.66_1.00_0.01,blur_3,enc_auto/aa0402eb9ba2430d9d0620b59556efca.png	(from https://spam5014.wixsite.com/test)
16:18:55	1431/1431	---M--	200	added ('OK')	image/png	date:Sat,%2016%20Apr%202022%2022:18:54%20GMT	https://static.wixstatic.com/media/70dad6_5a4a151b9f024fc5b26b410f5acfdf14~mv2.png/v1/fill/w_24,h_24,al_c,usm_0.66_1.00_0.01,blur_3,enc_auto/70dad6_5a4a151b9f024fc5b26b410f5acfdf14~mv2.png	H:/Projects/Site/for%20real%20site/static.wixstatic.com/media/70dad6_5a4a151b9f024fc5b26b410f5acfdf14_mv2.png/v1/fill/w_24,h_24,al_c,usm_0.66_1.00_0.01,blur_3,enc_auto/70dad6_5a4a151b9f024fc5b26b410f5acfdf14_mv2.png	(from https://spam5014.wixsite.com/test)
16:18:56	237817/237817	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20Apr%202022%2022:18:55%20GMT	https://spam5014.wixsite.com/test/about-5	H:/Projects/Site/for%20real%20site/spam5014.wixsite.com/test/about-5.html	(from https://spam5014.wixsite.com/test)
